ms2_precursor
1001.50
1020.50
1042.00
1066.00
1097.50
1136.50
1178.00
1224.50
403.00
409.00
415.00
421.00
427.00
433.00
439.00
445.00
451.00
456.50
461.50
466.50
471.50
476.50
481.50
486.50
491.50
496.50
501.50
506.50
511.50
516.50
521.50
526.50
531.50
536.50
541.50
546.50
551.50
556.50
561.50
566.50
571.50
576.50
581.50
586.50
591.50
596.50
601.50
606.50
611.50
616.50
621.50
626.50
631.50
636.50
641.50
646.50
651.50
657.00
663.00
669.00
675.00
681.00
687.00
693.00
699.00
705.00
711.00
717.00
723.00
729.00
735.00
741.00
747.00
753.00
759.50
766.50
773.50
780.50
787.50
794.50
801.50
808.50
815.50
822.50
830.00
838.00
846.00
854.00
862.50
871.50
880.50
889.50
898.50
908.50
919.50
930.50
943.00
957.00
971.00
985.00
