,classifier,cohort_identifier,cv_index,encoded_features_size,encoded_image_size,encoded_image_size_height,encoded_image_size_width,modality,module,non_varying_features,raw_image_size,raw_image_size_height,raw_image_size_width,training_scores_mean_test_AUC,training_scores_mean_test_Accuracy,training_scores_mean_test_F1,training_scores_mean_train_AUC,training_scores_mean_train_Accuracy,training_scores_mean_train_F1,AUC,Accuracy,Brier_Loss,DP,F1,Log_Loss,P+,P-,Precision,Recall,Specificity,Youdens
0,RandomForest,ppp1_raw_image_512x512,1,1280,,128.0,128.0,all_modalities,mobilenet_v2_035_128,90770,,512.0,512.0,0.5913646136466286,0.5579029733959311,0.5727462686037001,1.0,1.0,1.0,0.5695295433960254,0.5437956204379562,0.24510705109489053,0.19375673011668224,0.5387453874538746,0.6831251736072553,1.1967213114754098,0.8421052631578947,0.5447761194029851,0.5328467153284672,0.5547445255474452,0.08759124087591241
1,LogisticRegression,ppp1_raw_image_512x512,0,1280,,224.0,224.0,ms1_only,mobilenet_v2_050_224,1178,,512.0,512.0,0.5917964499474524,0.5892018779342723,0.5932330954147901,0.8697198675550241,0.7924874921826142,0.7907612336721422,0.641270179551388,0.6021897810218978,0.23665038982176925,0.45718541952086883,0.6007326007326008,0.6675297471397256,1.5185185185185188,0.6626506024096385,0.6029411764705882,0.5985401459854015,0.6058394160583942,0.2043795620437957
2,RandomForest,ppp1_cropped_image_2048x973,1,1280,,224.0,224.0,ms1_only,mobilenet_v2_100_224,1245,,2048.0,973.0,0.5837193750280235,0.5422535211267606,0.5432508883323204,1.0,1.0,1.0,0.555383877670627,0.5437956204379562,0.25064842335766424,0.1936730722431185,0.5454545454545454,0.6949965283027112,1.1904761904761905,0.8378378378378378,0.5434782608695652,0.5474452554744526,0.5401459854014599,0.08759124087591241
3,RandomForest,ppp1_raw_image_2048x2048,1,1280,,224.0,224.0,all_modalities,mobilenet_v2_050_224,118441,,2048.0,2048.0,0.7049376974636077,0.6525821596244131,0.6447444837855798,1.0,1.0,1.0,0.7058713836645534,0.6459854014598541,0.2298857080291971,0.6651968508639353,0.6367041198501874,0.6523004013372321,1.8888888888888886,0.5652173913043478,0.6538461538461539,0.6204379562043796,0.6715328467153284,0.291970802919708
4,LogisticRegression,ppp1_raw_image_2048x2048,1,1280,,128.0,128.0,ms1_only,mobilenet_v2_035_128,847,,2048.0,2048.0,0.5427932139775526,0.52660406885759,0.5271961099434593,0.9322764885557374,0.8491376776838907,0.8504542605100762,0.44040705418509235,0.45985401459854014,0.305081686538745,-0.178064901670436,0.47517730496453897,0.8308395639219366,0.858974358974359,1.1864406779661019,0.46206896551724136,0.48905109489051096,0.4306569343065693,-0.08029197080291967
5,XGBoost,ppp1_cropped_image_512x243,1,2048,,224.0,224.0,ms1_only,resnet_v2_152,1586,,512.0,243.0,0.751882636763199,0.6862284820031299,0.6834964855204069,1.0,1.0,1.0,0.72007032873355,0.6642335766423357,0.2501142555444943,0.7524471464764998,0.6617647058823529,0.8160407913756985,1.9999999999999996,0.5108695652173914,0.6666666666666666,0.656934306569343,0.6715328467153284,0.32846715328467146
6,SVC,ppp1_raw_image_2048x2048,8,256,,224.0,224.0,ms1_only,mobilenet_v1_025_224,253,,2048.0,2048.0,0.6206093225241658,0.5852895148669797,0.5754900697100978,0.7871273622699869,0.7151870647538171,0.7018066835190121,0.6432681549363312,0.5766423357664233,0.2354241451796435,0.34193985396251037,0.5639097744360902,0.6633110612561469,1.388888888888889,0.7469879518072289,0.5813953488372093,0.5474452554744526,0.6058394160583942,0.15328467153284675
7,RandomForest,ppp1_raw_image_512x512,1,2048,,299.0,299.0,all_modalities,inception_v3_imagenet,206835,,512.0,512.0,0.7810640533940503,0.7089201877934272,0.6922990868160841,1.0,1.0,1.0,0.7856039213596888,0.7153284671532847,0.1981692700729927,1.0187504131596512,0.708955223880597,0.5833076106966193,2.638888888888889,0.41584158415841577,0.7251908396946565,0.6934306569343066,0.7372262773722628,0.43065693430656937
8,XGBoost,ppp1_cropped_image_2048x973,1,1280,,96.0,96.0,ms1_only,mobilenet_v2_100_96,943,,2048.0,973.0,0.5571024563406529,0.5297339593114241,0.5366196606796726,1.0,1.0,1.0,0.5307155415845277,0.5328467153284672,0.32567819617856325,0.14621364660924158,0.5524475524475525,0.9936687805312584,1.1285714285714283,0.8656716417910448,0.5302013422818792,0.5766423357664233,0.48905109489051096,0.06569343065693423
9,LogisticRegression,ppp1_raw_image_2048x2048,1,4320,,331.0,331.0,ms1_only,pnasnet_large,4066,,2048.0,2048.0,0.7663028797835543,0.7065727699530516,0.7023327468328365,0.9821810889373359,0.9319249695533393,0.930969309157842,0.7642389045766956,0.6861313868613139,0.2037147913200051,0.8623827772777287,0.6861313868613139,0.6207028807127184,2.1860465116279073,0.4574468085106382,0.6861313868613139,0.6861313868613139,0.6861313868613139,0.37226277372262784
10,LogisticRegression,ppp1_raw_image_512x512,0,1792,,224.0,224.0,all_modalities,mobilenet_v2_140_224,168519,,512.0,512.0,0.7395005954665801,0.6799687010954617,0.677265256455586,1.0,0.9998433583959899,0.9998436522826767,0.7526772870158239,0.6934306569343066,0.21088976145472377,0.9010044968862444,0.6888888888888889,0.624825370398754,2.325,0.45360824742268047,0.6992481203007519,0.6788321167883211,0.708029197080292,0.3868613138686131
11,XGBoost,ppp1_cropped_image_2048x973,0,2048,,224.0,224.0,ms1_only,resnet_v2_152,1581,,2048.0,973.0,0.7408038962871101,0.6744913928012519,0.676443997985413,0.9999964666808,0.9981223579586866,0.9981214762986265,0.7542756673237786,0.6861313868613139,0.20332372272168572,0.862618635447998,0.6884057971014493,0.5915755976372175,2.1590909090909087,0.45161290322580644,0.6834532374100719,0.6934306569343066,0.6788321167883211,0.3722627737226277
12,LogisticRegression,ppp1_raw_image_2048x2048,0,2048,,299.0,299.0,ms1_only,inception_v3_inaturalist,2044,,2048.0,2048.0,0.7218837522377843,0.6651017214397497,0.6543439161937132,0.9087410977055926,0.8305137844611529,0.8276112216699031,0.7421279769833234,0.6751824817518248,0.20467798378492483,0.8111966900915893,0.6641509433962264,0.5946794073836664,2.2,0.5051546391752577,0.6875,0.6423357664233577,0.708029197080292,0.35036496350364965
13,LogisticRegression,ppp1_raw_image_2048x2048,0,1280,,96.0,96.0,ms1_only,mobilenet_v2_100_96,970,,2048.0,2048.0,0.5850440010979769,0.5625978090766823,0.554854107179629,0.8262210913842911,0.7350549803213475,0.7309351107812491,0.5987532633597954,0.5693430656934306,0.24165735805997487,0.3078982783677224,0.5724637681159421,0.6754539994605612,1.3166666666666664,0.7532467532467534,0.5683453237410072,0.5766423357664233,0.5620437956204379,0.13868613138686126
14,XGBoost,ppp1_cropped_image_512x243,1,7168,,331.0,331.0,ms1_only,amoebanet_a_n18_f448,5391,,512.0,243.0,0.7178642161221074,0.661189358372457,0.6573271838221004,1.0,1.0,1.0,0.7194309766103681,0.6605839416058394,0.243453801500672,0.7343040277281596,0.6593406593406593,0.786667125996153,1.9565217391304346,0.5164835164835165,0.6617647058823529,0.656934306569343,0.6642335766423357,0.3211678832116788
15,XGBoost,ppp1_raw_image_512x512,0,2048,,299.0,299.0,ms1_only,inception_v3_imagenet,2045,,512.0,512.0,0.7303457752493687,0.661189358372457,0.6458852392744563,1.0,1.0,1.0,0.7520912142362406,0.6861313868613139,0.20330856954483087,0.8741246263921678,0.6692307692307692,0.5895816334829169,2.4166666666666665,0.49504950495049505,0.7073170731707317,0.635036496350365,0.7372262773722628,0.3722627737226277
16,XGBoost,ppp1_raw_image_2048x2048,1,256,,128.0,128.0,ms1_only,mobilenet_v1_025_128,246,,2048.0,2048.0,0.5686910889984679,0.5586854460093896,0.5569864100566394,1.0,1.0,1.0,0.5263999147530503,0.5182481751824818,0.3266021582772603,0.08059058796262561,0.5251798561151079,0.9853283085292681,1.073529411764706,0.9275362318840579,0.5177304964539007,0.5328467153284672,0.5036496350364964,0.03649635036496357
17,RandomForest,ppp1_raw_image_512x512,0,1280,,224.0,224.0,ms1_only,mobilenet_v2_050_224,1178,,512.0,512.0,0.5910861551012729,0.5758998435054773,0.5741756436677325,1.0,1.0,1.0,0.5646544834567638,0.5656934306569343,0.2492240875912409,0.292734924430119,0.550943396226415,0.692272207683395,1.3272727272727274,0.7804878048780487,0.5703125,0.5328467153284672,0.5985401459854015,0.13138686131386867
18,XGBoost,ppp1_raw_image_2048x2048,1,1280,,96.0,96.0,ms1_only,mobilenet_v2_100_96,970,,2048.0,2048.0,0.5745951756817792,0.5446009389671361,0.5436490722815095,1.0,1.0,1.0,0.569822579785817,0.5109489051094891,0.3101538771974317,0.04834054495122401,0.5179856115107913,0.9333297474255419,1.0434782608695654,0.9558823529411764,0.5106382978723404,0.5255474452554745,0.49635036496350365,0.021897810218978186
19,RandomForest,ppp1_cropped_image_512x243,1,1280,,224.0,224.0,ms1_only,mobilenet_v2_035_224,1056,,512.0,243.0,0.6274510366805227,0.5790297339593115,0.5751681754002433,1.0,1.0,1.0,0.5899621716660451,0.5656934306569343,0.24489398540145987,0.29145023029525796,0.5641025641025642,0.683012156704761,1.3050847457627117,0.7692307692307693,0.5661764705882353,0.5620437956204379,0.5693430656934306,0.13138686131386856
20,XGBoost,ppp1_raw_image_512x512,0,2048,,224.0,224.0,ms1_only,resnet_v2_152,1570,,512.0,512.0,0.7387030858182717,0.6799687010954617,0.6793164416158742,0.99997647090672,0.9974960854293333,0.9975060075129064,0.7372262773722627,0.6715328467153284,0.21151871103180123,0.7893688593286793,0.6666666666666666,0.6179527402209648,2.0930232558139537,0.5,0.6766917293233082,0.656934306569343,0.6861313868613139,0.34306569343065696
21,RandomForest,ppp1_raw_image_512x512,1,1024,,224.0,224.0,all_modalities,inception_v1,102641,,512.0,512.0,0.7581797368573582,0.6901408450704225,0.6769821694005763,1.0,1.0,1.0,0.7541424689647823,0.6788321167883211,0.21154776642335768,0.8332888595276136,0.6641221374045801,0.6134367373433567,2.2894736842105265,0.5050505050505051,0.696,0.635036496350365,0.7226277372262774,0.35766423357664234
22,SVC,ppp1_raw_image_512x512,11,1280,,128.0,128.0,all_modalities,mobilenet_v2_050_128,91656,,512.0,512.0,0.7180687197960649,0.6596244131455399,0.6600731273030241,0.9996749697909998,0.9968704006733531,0.9968794531245494,0.7032074164846289,0.6459854014598541,0.21766900517649304,0.6701917308600315,0.662020905923345,0.6254739964844991,1.7272727272727275,0.5121951219512194,0.6333333333333333,0.6934306569343066,0.5985401459854015,0.2919708029197081
23,SVC,ppp1_cropped_image_2048x973,3,4032,,331.0,331.0,ms1_only,nasnet_large,3214,,2048.0,973.0,0.7512319432551517,0.6823161189358372,0.6818505738316768,0.960832383204464,0.9006269190800641,0.9003964587566644,0.7314188289200276,0.6788321167883211,0.21121092941607975,0.8272349318069239,0.6857142857142858,0.6126186797572496,2.0425531914893615,0.45555555555555555,0.6713286713286714,0.7007299270072993,0.656934306569343,0.35766423357664234
24,RandomForest,ppp1_raw_image_512x512,1,256,,224.0,224.0,ms1_only,mobilenet_v1_025_224,249,,512.0,512.0,0.6124923311122265,0.5821596244131455,0.5862570369777005,1.0,1.0,1.0,0.6171612765730725,0.583941605839416,0.2397690218978102,0.37511555843524547,0.5714285714285715,0.6723592826508027,1.4339622641509435,0.7261904761904762,0.5891472868217055,0.5547445255474452,0.6131386861313869,0.16788321167883213
25,LogisticRegression,ppp1_raw_image_512x512,0,1280,,224.0,224.0,all_modalities,mobilenet_v2_035_224,110417,,512.0,512.0,0.7803329800997147,0.7136150234741784,0.7059377977477307,1.0,0.9985914011106568,0.9985952084538819,0.7592306462784378,0.6751824817518248,0.20568356988165182,0.8111966900915893,0.6641509433962264,0.6140672602409952,2.2,0.5051546391752577,0.6875,0.6423357664233577,0.708029197080292,0.35036496350364965
26,XGBoost,ppp1_raw_image_512x512,0,1024,,224.0,224.0,ms1_only,inception_v1,922,,512.0,512.0,0.7223190060465284,0.6619718309859155,0.662074941438974,0.9999952976970845,0.9990610320359999,0.9990636594788289,0.6942831264318824,0.635036496350365,0.23386022898800699,0.6107457353314122,0.635036496350365,0.669573935245021,1.74,0.5747126436781609,0.635036496350365,0.635036496350365,0.635036496350365,0.27007299270072993
27,LogisticRegression,ppp1_raw_image_2048x2048,1,2048,,224.0,224.0,ms1_only,resnet_v2_101,943,,2048.0,2048.0,0.7773329549468563,0.7057902973395931,0.7013766671623549,0.9218013661112852,0.8403763277800506,0.8389128073262286,0.8038254568703712,0.7335766423357665,0.17992115476952733,1.1169117663597414,0.7326007326007326,0.5349310850885194,2.7777777777777777,0.36633663366336633,0.7352941176470589,0.7299270072992701,0.7372262773722628,0.46715328467153283
28,RandomForest,proteomics,1,265,,,,all_modalities,proteins,265,,,,0.9272022967840431,0.8708920187793427,0.8650041865539202,1.0,1.0,1.0,0.9328147477223081,0.8722627737226277,0.10496124087591241,2.1985456060632753,0.8659003831417624,0.3502308958183803,10.272727272727272,0.1904761904761905,0.9112903225806451,0.8248175182481752,0.9197080291970803,0.7445255474452555
29,SVC,ppp1_cropped_image_512x243,8,1792,,224.0,224.0,ms1_only,mobilenet_v2_140_224,1688,,512.0,243.0,0.6545481835808702,0.6142410015649452,0.5891750364770356,0.8156298703992579,0.7262956876243142,0.7078929710717378,0.6031754488784697,0.5547445255474452,0.24285521267147192,0.24290514617934802,0.5447761194029851,0.6790051896960531,1.2586206896551724,0.810126582278481,0.5572519083969466,0.5328467153284672,0.5766423357664233,0.10948905109489049
30,XGBoost,ppp1_raw_image_2048x2048,1,2048,,224.0,224.0,all_modalities,resnet_v2_101,119254,,2048.0,2048.0,0.8265231969501612,0.755868544600939,0.7492568022623461,1.0,1.0,1.0,0.841973466886888,0.7554744525547445,0.17356831589268357,1.2573326739243338,0.7452471482889734,0.5867797732742169,3.5000000000000004,0.35779816513761464,0.7777777777777778,0.7153284671532847,0.7956204379562044,0.5109489051094891
31,XGBoost,ppp1_raw_image_512x512,1,1536,,299.0,299.0,ms1_only,inception_resnet_v2,1536,,512.0,512.0,0.7101061997421285,0.6416275430359938,0.6318867619978829,1.0,1.0,1.0,0.7280622302733231,0.6751824817518248,0.24697317935779686,0.80946741549204,0.6666666666666666,0.8395109875461199,2.1707317073170733,0.5,0.6846153846153846,0.6496350364963503,0.7007299270072993,0.35036496350364965
32,XGBoost,ppp1_raw_image_512x512,1,1024,,224.0,224.0,all_modalities,mobilenet_v1_100_224,99239,,512.0,512.0,0.5967351589934046,0.5579029733959311,0.5618353810480827,1.0,1.0,1.0,0.6703074218125633,0.6094890510948905,0.2487435522904466,0.49571245088146626,0.5900383141762452,0.715819028087205,1.6382978723404253,0.6666666666666667,0.6209677419354839,0.5620437956204379,0.656934306569343,0.21897810218978098
33,SVC,ppp1_cropped_image_512x243,8,1280,,224.0,224.0,ms1_only,mobilenet_v2_035_224,1056,,512.0,243.0,0.6323983578464343,0.5938967136150235,0.5784912461814964,0.7845891470497136,0.7087579995956119,0.6947296418418788,0.5904150460866322,0.5693430656934306,0.24390758097125953,0.308918637801477,0.556390977443609,0.6808025290266142,1.3454545454545457,0.7682926829268292,0.5736434108527132,0.5401459854014599,0.5985401459854015,0.13868613138686137
34,RandomForest,ppp1_cropped_image_2048x973,0,1280,,128.0,128.0,ms1_only,mobilenet_v2_035_128,842,,2048.0,973.0,0.4716221078313971,0.48200312989045385,0.47945189683931055,1.0,1.0,1.0,0.48612073099259423,0.4744525547445255,0.2597007299270073,-0.11277856982114472,0.4744525547445255,0.7137831448173974,0.9027777777777777,1.1076923076923078,0.4744525547445255,0.4744525547445255,0.4744525547445255,-0.051094890510948954
35,LogisticRegression,ppp1_raw_image_512x512,0,1280,,128.0,128.0,ms1_only,mobilenet_v2_100_128,988,,512.0,512.0,0.5553805791500303,0.539906103286385,0.5462355251555373,0.8482147025806591,0.764003700621159,0.7690724407970428,0.47381320262134374,0.49635036496350365,0.2746355025123715,-0.01611121545895694,0.48888888888888893,0.7539714269165365,0.9850746268656718,1.014285714285714,0.49624060150375937,0.48175182481751827,0.5109489051094891,-0.007299270072992636
36,XGBoost,ppp1_raw_image_2048x2048,1,1280,,224.0,224.0,all_modalities,mobilenet_v2_050_224,118441,,2048.0,2048.0,0.715650764592212,0.6502347417840375,0.6431882510397218,1.0,1.0,1.0,0.752144493579839,0.6788321167883211,0.21457067390161713,0.8287944702463669,0.6691729323308271,0.6449248539645014,2.225,0.4948453608247423,0.689922480620155,0.6496350364963503,0.708029197080292,0.35766423357664234
37,LogisticRegression,ppp1_raw_image_512x512,0,2048,,224.0,224.0,ms1_only,resnet_v2_50,1145,,512.0,512.0,0.7733388450901074,0.7057902973395931,0.7037067325066626,0.8518645641835342,0.7733927924877859,0.7719312390903038,0.7898662688475678,0.7116788321167883,0.187064416157294,0.9981586620664694,0.7063197026022304,0.5539666500282913,2.5675675675675675,0.41999999999999993,0.7196969696969697,0.6934306569343066,0.7299270072992701,0.4233576642335767
38,RandomForest,ppp1_raw_image_2048x2048,1,1280,,128.0,128.0,all_modalities,mobilenet_v2_100_128,102575,,2048.0,2048.0,0.610878583872206,0.5704225352112676,0.5822137094987736,1.0,1.0,1.0,0.6051201449198147,0.5620437956204379,0.24317515328467154,0.2753108090445544,0.5683453237410072,0.6793675793319366,1.2741935483870968,0.7733333333333334,0.5602836879432624,0.5766423357664233,0.5474452554744526,0.12408759124087587
39,SVC,ppp1_raw_image_2048x2048,11,1024,,224.0,224.0,all_modalities,inception_v1,102616,,2048.0,2048.0,0.8005197892846637,0.7284820031298904,0.7218089664825208,0.9998988829086142,0.9974957915426464,0.9975118446870036,0.7831530715541585,0.7591240875912408,0.1902214464028042,1.2657225052667567,0.7591240875912408,0.5735116411254345,3.151515151515151,0.3173076923076924,0.7591240875912408,0.7591240875912408,0.7591240875912408,0.5182481751824817
40,LogisticRegression,ppp1_cropped_image_512x243,0,256,,128.0,128.0,ms1_only,mobilenet_v1_025_128,246,,512.0,243.0,0.6196321886595605,0.5845070422535211,0.5762379141711713,0.7582933901266052,0.6868549187226979,0.6832003985590033,0.6270978741541904,0.5802919708029197,0.23797437933962604,0.35820722520743203,0.5907473309608541,0.6687146087843168,1.360655737704918,0.7105263157894737,0.5763888888888888,0.6058394160583942,0.5547445255474452,0.16058394160583944
41,XGBoost,ppp1_cropped_image_2048x973,1,4032,,331.0,331.0,ms1_only,nasnet_large,3214,,2048.0,973.0,0.7587285886293771,0.6964006259780907,0.6955991798446918,1.0,1.0,1.0,0.7586445734988544,0.6934306569343066,0.22409578952487574,0.9040425489002522,0.7021276595744681,0.7445237569293827,2.152173913043478,0.4175824175824176,0.6827586206896552,0.7226277372262774,0.6642335766423357,0.3868613138686131
42,XGBoost,ppp1_raw_image_512x512,0,2048,,224.0,224.0,ms1_only,resnet_v2_50,1145,,512.0,512.0,0.7776675973224236,0.7128325508607198,0.7058553994864758,0.9999976444538666,0.9992170858666366,0.9992205960640526,0.7564601204113165,0.718978102189781,0.20175498151491333,1.0493721478616282,0.7049808429118775,0.6042030873660841,2.874999999999999,0.42857142857142866,0.7419354838709677,0.6715328467153284,0.7664233576642335,0.43795620437956195
43,LogisticRegression,ppp1_raw_image_512x512,0,512,,224.0,224.0,all_modalities,mobilenet_v1_050_224,50680,,512.0,512.0,0.7343325032890097,0.6674491392801252,0.6621454002469579,1.0,0.9979657163546767,0.9979698164777172,0.7634397144227183,0.708029197080292,0.19902179256590175,0.9813717397412701,0.6992481203007519,0.5920100608772536,2.583333333333333,0.4356435643564357,0.7209302325581395,0.6788321167883211,0.7372262773722628,0.4160583941605839
44,RandomForest,ppp1_cropped_image_2048x973,1,1280,,96.0,96.0,ms1_only,mobilenet_v2_100_96,943,,2048.0,973.0,0.5210275161333715,0.5109546165884195,0.5090644342065,1.0,1.0,1.0,0.48715967819276473,0.4781021897810219,0.2568367445255475,-0.0966501519363587,0.48000000000000004,0.7073553621701674,0.9166666666666666,1.0923076923076922,0.4782608695652174,0.48175182481751827,0.4744525547445255,-0.043795620437956206
45,LogisticRegression,ppp1_cropped_image_512x243,0,1536,,299.0,299.0,ms1_only,inception_resnet_v2,1528,,512.0,243.0,0.7318005400209315,0.6854460093896714,0.676052296926258,0.7563083634895974,0.701563065731872,0.6926366272679695,0.7507059513026799,0.6934306569343066,0.20302522475513995,0.9091617131013927,0.6793893129770993,0.5947619941353838,2.472222222222222,0.4752475247524753,0.712,0.6496350364963503,0.7372262773722628,0.3868613138686131
46,RandomForest,ppp1_cropped_image_512x243,1,1280,,128.0,128.0,ms1_only,mobilenet_v2_100_128,1059,,512.0,243.0,0.5375076962278367,0.5336463223787168,0.5418466284366984,1.0,1.0,1.0,0.47629069209867336,0.5291970802919708,0.2576495474452555,0.12976559853677716,0.5473684210526315,0.708887309296337,1.114285714285714,0.8805970149253731,0.527027027027027,0.5693430656934306,0.48905109489051096,0.058394160583941535
47,SVC,ppp1_cropped_image_512x243,11,1280,,96.0,96.0,ms1_only,mobilenet_v2_075_96,846,,512.0,243.0,0.5853827444830487,0.5712050078247262,0.5672894340528009,0.9101396065394178,0.8323937775959599,0.8316605770777885,0.5740849272736961,0.5364963503649635,0.2460978200379326,0.16196399006295503,0.5512367491166078,0.6853026441713026,1.147058823529412,0.855072463768116,0.5342465753424658,0.5693430656934306,0.5036496350364964,0.07299270072992703
48,XGBoost,ppp1_raw_image_2048x2048,1,1024,,224.0,224.0,ms1_only,mobilenet_v1_100_224,984,,2048.0,2048.0,0.6237832304800149,0.5860719874804382,0.5847636210910873,1.0,1.0,1.0,0.5695561830678246,0.5364963503649635,0.31456898631951724,0.16517511494720524,0.5694915254237288,0.9928873591125011,1.135135135135135,0.8412698412698412,0.5316455696202531,0.6131386861313869,0.45985401459854014,0.07299270072992703
49,LogisticRegression,ppp1_raw_image_512x512,0,256,,128.0,128.0,ms1_only,mobilenet_v1_025_128,247,,512.0,512.0,0.5768794379757854,0.5657276995305164,0.5644783240873279,0.7530360308907023,0.6904562061814951,0.6863919426531789,0.5508551334647557,0.5620437956204379,0.25117789333710644,0.27658236133741426,0.5454545454545454,0.6963358348747618,1.3090909090909093,0.7926829268292682,0.5669291338582677,0.5255474452554745,0.5985401459854015,0.12408759124087598
50,LogisticRegression,ppp1_cropped_image_2048x973,1,1280,,224.0,224.0,ms1_only,mobilenet_v2_075_224,1183,,2048.0,973.0,0.6554473982648903,0.621283255086072,0.6193338131422209,0.9934746494015682,0.9618158905707044,0.9619229274465964,0.6256593318770313,0.5948905109489051,0.26823956483288963,0.4236871735223727,0.5934065934065933,0.8363706881889367,1.472727272727273,0.6829268292682925,0.5955882352941176,0.5912408759124088,0.5985401459854015,0.18978102189781032
51,RandomForest,ppp1_raw_image_512x512,1,2048,,224.0,224.0,all_modalities,resnet_v2_101,120577,,512.0,512.0,0.790294468886461,0.7230046948356808,0.712935586096288,1.0,1.0,1.0,0.8000426234748789,0.7335766423357665,0.19208332846715329,1.1278310067154351,0.7224334600760456,0.5705158485377125,3.064516129032259,0.39622641509433953,0.753968253968254,0.6934306569343066,0.7737226277372263,0.46715328467153294
52,XGBoost,ppp1_cropped_image_2048x973,1,1024,,224.0,224.0,ms1_only,inception_v1,930,,2048.0,973.0,0.6346968369733893,0.6009389671361502,0.5991167017922818,1.0,1.0,1.0,0.6538973839842294,0.6058394160583942,0.2820114382307125,0.47442127217278107,0.6000000000000001,0.8699140017656746,1.557692307692308,0.6588235294117646,0.6090225563909775,0.5912408759124088,0.6204379562043796,0.2116788321167884
53,SVC,ppp1_raw_image_512x512,11,1280,,224.0,224.0,all_modalities,mobilenet_v2_075_224,116858,,512.0,512.0,0.7591698572520612,0.6924882629107981,0.688454217269897,1.0,0.9968704006733531,0.9968794531245494,0.780808780435825,0.6824817518248175,0.19239101341310644,0.8507281660820609,0.6692015209125476,0.5664082826923761,2.3157894736842106,0.494949494949495,0.6984126984126984,0.6423357664233577,0.7226277372262774,0.36496350364963503
54,LogisticRegression,ppp1_cropped_image_512x243,0,1280,,128.0,128.0,ms1_only,mobilenet_v2_100_128,1059,,512.0,243.0,0.5735228983966694,0.5539906103286385,0.5592542794968661,0.8694099550301634,0.7773070692679166,0.7820035408654084,0.5348180510416112,0.5145985401459854,0.25408907391021684,0.06449310804392878,0.5232974910394265,0.7016541170531693,1.0579710144927539,0.9411764705882353,0.5140845070422535,0.5328467153284672,0.49635036496350365,0.02919708029197088
55,RandomForest,ppp1_raw_image_2048x2048,1,256,,128.0,128.0,all_modalities,mobilenet_v1_025_128,24985,,2048.0,2048.0,0.584901559367854,0.5602503912363067,0.5715789322703483,1.0,1.0,1.0,0.5319676061590921,0.5072992700729927,0.2488991824817518,0.03248932073877008,0.529616724738676,0.6909235719651458,1.027027027027027,0.9682539682539683,0.5066666666666667,0.5547445255474452,0.45985401459854014,0.014598540145985384
56,RandomForest,ppp1_raw_image_512x512,1,1024,,128.0,128.0,ms1_only,mobilenet_v1_100_128,874,,512.0,512.0,0.6000294999283691,0.5633802816901409,0.5734076220494752,1.0,1.0,1.0,0.5971815227236401,0.5547445255474452,0.24232351824817522,0.24434272799367135,0.5734265734265734,0.6775614114885015,1.2238805970149256,0.7857142857142856,0.5503355704697986,0.5985401459854015,0.5109489051094891,0.1094890510948906
57,LogisticRegression,ppp1_raw_image_2048x2048,0,1024,,128.0,128.0,all_modalities,mobilenet_v1_100_128,90848,,2048.0,2048.0,0.7291110979878807,0.6658841940532081,0.6608530918815377,1.0,0.9993740213573333,0.9993769426868488,0.7377057914646491,0.6861313868613139,0.214063438767513,0.862618635447998,0.6884057971014493,0.6449854160521845,2.1590909090909087,0.45161290322580644,0.6834532374100719,0.6934306569343066,0.6788321167883211,0.3722627737226277
58,XGBoost,ppp1_raw_image_512x512,0,512,,128.0,128.0,ms1_only,mobilenet_v1_050_128,446,,512.0,512.0,0.5085232647535184,0.5195618153364632,0.5286258145196476,1.0,0.99984335839599,0.9998436522826767,0.5146784591613831,0.5072992700729927,0.2765889261144758,0.03219839152617791,0.5090909090909091,0.7574532338193734,1.0294117647058825,0.9710144927536231,0.5072463768115942,0.5109489051094891,0.5036496350364964,0.014598540145985495
59,SVC,ppp1_cropped_image_512x243,0,2048,,299.0,299.0,ms1_only,inception_v3_inaturalist,2042,,512.0,243.0,0.7319145480851567,0.6776212832550861,0.6679720443577543,0.8969779134150463,0.8283269736254333,0.8232524503651873,0.73099259417124,0.6861313868613139,0.20921085290837393,0.8980254287090874,0.656,0.6065696847591298,2.6451612903225814,0.5188679245283018,0.7256637168141593,0.5985401459854015,0.7737226277372263,0.37226277372262784
60,SVC,ppp1_cropped_image_2048x973,8,512,,224.0,224.0,ms1_only,mobilenet_v1_050_224,506,,2048.0,973.0,0.6380356055113193,0.6165884194053208,0.6141945820180196,0.8123537320112743,0.7453818646052278,0.7458786434744865,0.593904843092333,0.6058394160583942,0.24230044817148633,0.4740937527486822,0.6029411764705882,0.6772208329735124,1.547169811320755,0.6547619047619047,0.6074074074074074,0.5985401459854015,0.6131386861313869,0.2116788321167884
61,LogisticRegression,ppp1_raw_image_512x512,0,1024,,224.0,224.0,all_modalities,inception_v1,102641,,512.0,512.0,0.7808970056069002,0.715962441314554,0.7144435032737695,1.0,0.9978090747506666,0.9978128809870205,0.7945548510842347,0.7262773722627737,0.19918891571665065,1.090452333297054,0.7126436781609196,0.675318318262367,3.0000000000000004,0.41509433962264153,0.75,0.6788321167883211,0.7737226277372263,0.45255474452554745
62,RandomForest,ppp1_raw_image_512x512,1,4320,,331.0,331.0,all_modalities,pnasnet_large,427948,,512.0,512.0,0.7831865992132622,0.7120500782472613,0.7007628544074332,1.0,1.0,1.0,0.7369865203260695,0.6788321167883211,0.21103601459854013,0.8480679038583925,0.6535433070866142,0.6102597756801096,2.441176470588235,0.5242718446601942,0.7094017094017094,0.6058394160583942,0.7518248175182481,0.35766423357664234
