,classifier,cohort_identifier,cv_index,encoded_features_size,encoded_image_size,encoded_image_size_height,encoded_image_size_width,modality,module,non_varying_features,raw_image_size,raw_image_size_height,raw_image_size_width,training_scores_mean_test_AUC,training_scores_mean_test_Accuracy,training_scores_mean_test_F1,training_scores_mean_train_AUC,training_scores_mean_train_Accuracy,training_scores_mean_train_F1,AUC,Accuracy,Brier_Loss,DP,F1,Log_Loss,P+,P-,Precision,Recall,Specificity,Youdens
367,XGBoost,ppp1_raw_image_2048x2048,1,4320,,331.0,331.0,all_modalities,pnasnet_large,428802,,2048.0,2048.0,0.7976184617605471,0.7269170579029735,0.7203269060164076,1.0,1.0,1.0,0.77500133198359,0.708029197080292,0.21396472024155241,1.012988038752928,0.6825396825396826,0.7110356038288543,2.965517241379311,0.4722222222222222,0.7478260869565218,0.6277372262773723,0.7883211678832117,0.416058394160584
368,SVC,ppp1_raw_image_512x512,11,2048,,299.0,299.0,ms1_only,inception_v3_inaturalist,2044,,512.0,512.0,0.7324717385765013,0.6784037558685446,0.6645252089175497,0.9529133139686347,0.882314545745226,0.8784274444865262,0.7381853055570355,0.6386861313868614,0.20766047903366047,0.6368855690079148,0.6177606177606176,0.6029592429069344,1.9047619047619049,0.6,0.6557377049180327,0.583941605839416,0.6934306569343066,0.2773722627737226
369,XGBoost,ppp1_cropped_image_512x243,1,512,,128.0,128.0,ms1_only,mobilenet_v1_050_128,477,,512.0,243.0,0.5227286148758379,0.513302034428795,0.5149025272791856,1.0,1.0,1.0,0.5668922158879002,0.5364963503649635,0.3208850725660515,0.16126740937791217,0.5381818181818181,0.983370466829094,1.15625,0.863013698630137,0.5362318840579711,0.5401459854014599,0.5328467153284672,0.07299270072992703
370,XGBoost,ppp1_cropped_image_2048x973,0,512,,224.0,224.0,ms1_only,mobilenet_v1_050_224,506,,2048.0,973.0,0.5843867459747224,0.5555555555555556,0.5528345758312538,1.0,1.0,1.0,0.5208588630188076,0.5364963503649635,0.2806398564797219,0.16323323006974438,0.5096525096525097,0.7695532164597598,1.1785714285714288,0.876543209876543,0.5409836065573771,0.48175182481751827,0.5912408759124088,0.07299270072992708
371,XGBoost,ppp1_raw_image_512x512,1,512,,128.0,128.0,all_modalities,mobilenet_v1_050_128,46829,,512.0,512.0,0.591583470853852,0.5665101721439749,0.5708873414346238,1.0,1.0,1.0,0.6379668602482818,0.583941605839416,0.26291097938936014,0.37452732328567834,0.5928571428571429,0.762894541225702,1.3833333333333333,0.7012987012987013,0.5804195804195804,0.6058394160583942,0.5620437956204379,0.16788321167883213
372,XGBoost,ppp1_raw_image_2048x2048,1,1280,,128.0,128.0,all_modalities,mobilenet_v2_100_128,102575,,2048.0,2048.0,0.6382360081757725,0.5954616588419406,0.6009634976425973,1.0,1.0,1.0,0.6395652405562363,0.5948905109489051,0.26182806599586667,0.4236871735223727,0.5934065934065933,0.75184917984272,1.472727272727273,0.6829268292682925,0.5955882352941176,0.5912408759124088,0.5985401459854015,0.18978102189781032
373,RandomForest,ppp1_raw_image_2048x2048,0,1280,,128.0,128.0,ms1_only,mobilenet_v2_100_128,963,,2048.0,2048.0,0.51695535039572,0.5078247261345853,0.49155790178725195,1.0,1.0,1.0,0.47818210879641965,0.4781021897810219,0.2598759124087591,-0.0972741131658649,0.45627376425855515,0.7136660950736996,0.9090909090909092,1.084507042253521,0.47619047619047616,0.43795620437956206,0.5182481751824818,-0.04379562043795615
374,RandomForest,ppp1_cropped_image_2048x973,1,1056,,224.0,224.0,ms1_only,nasnet_mobile,420,,2048.0,973.0,0.6904347507515783,0.6291079812206573,0.6195326135681632,1.0,1.0,1.0,0.7194309766103681,0.6751824817518248,0.21341620437956205,0.80946741549204,0.6666666666666666,0.6150159420534688,2.1707317073170733,0.5,0.6846153846153846,0.6496350364963503,0.7007299270072993,0.35036496350364965
375,RandomForest,ppp1_raw_image_512x512,1,7168,,331.0,331.0,all_modalities,amoebanet_a_n18_f448,594543,,512.0,512.0,0.7966123474287764,0.7261345852895149,0.7160515892493508,1.0,1.0,1.0,0.7999360647876819,0.7408759124087592,0.1934703795620438,1.1749054015986165,0.7279693486590039,0.5734946070114791,3.275862068965518,0.38888888888888884,0.7661290322580645,0.6934306569343066,0.7883211678832117,0.4817518248175183
376,LogisticRegression,ppp1_cropped_image_512x243,0,1024,,128.0,128.0,ms1_only,mobilenet_v1_100_128,899,,512.0,243.0,0.6349461783512629,0.5876369327073553,0.5820335773019839,0.8643940656409844,0.7683870205532592,0.7684957576417819,0.5944909158719165,0.5802919708029197,0.24683895423476346,0.35740934719913725,0.5848375451263538,0.7589968985918069,1.3728813559322035,0.7179487179487178,0.5785714285714286,0.5912408759124088,0.5693430656934306,0.16058394160583944
